timeStamp,elapsed,label,responseCode,responseMessage,success,failureMessage,Latency,IdleTime,Connect
1778511400382,36,Ad,200,,true,,6,0,0
1778511400418,27,LP_D,200,,true,,17,0,0
1778511400446,38,Ad2,200,,true,,7,0,0
1778511400484,13,Out,200,,true,,5,0,0
1778511400498,7,H,200,,true,,7,0,0
1778511400506,10,L,200,,true,,1,0,0
1778511400516,27,LP,200,,true,,17,0,0
1778511400543,31,LatP,200,,true,,23,0,0
1778511400575,20,Ad,200,,true,,3,0,0
1778511400596,19,LP_D,200,,true,,10,0,0
1778511400616,22,Ad2,200,,true,,4,0,0
1778511400638,9,Out,200,,true,,3,0,0
1778511400647,5,H,200,,true,,5,0,0
1778511400652,7,L,200,,true,,2,0,0
1778511400659,19,LP,200,,true,,9,0,0
1778511400678,23,LatP,200,,true,,15,0,0
1778511400701,20,Ad,200,,true,,4,0,0
1778511400721,19,LP_D,200,,true,,9,0,0
1778511400741,21,Ad2,200,,true,,4,0,0
1778511400763,9,Out,200,,true,,3,0,0
1778511400772,7,H,200,,true,,6,0,1
1778511400779,7,L,200,,true,,2,0,0
1778511400786,20,LP,200,,true,,10,0,0
1778511400807,38,LatP,200,,true,,29,0,0
1778511400845,37,Ad,200,,true,,8,0,0
1778511400882,28,LP_D,200,,true,,18,0,0
1778511400911,37,Ad2,200,,true,,7,0,0
1778511400949,13,Out,200,,true,,5,0,0
1778511400963,8,H,200,,true,,7,0,0
1778511400971,10,L,200,,true,,2,0,0
1778511400981,25,LP,200,,true,,17,0,0
1778511401006,37,LatP,200,,true,,29,0,0
1778511401043,35,Ad,200,,true,,5,0,0
1778511401079,25,LP_D,200,,true,,17,0,0
1778511401105,37,Ad2,200,,true,,6,0,0
1778511401142,14,Out,200,,true,,5,0,0
1778511401156,8,H,200,,true,,7,0,0
1778511401164,9,L,200,,true,,1,0,0
1778511401173,25,LP,200,,true,,16,0,0
1778511401199,36,LatP,200,,true,,28,0,0
1778511401235,35,Ad,200,,true,,6,0,0
1778511401271,26,LP_D,200,,true,,18,0,0
1778511401298,38,Ad2,200,,true,,6,0,0
1778511401336,14,Out,200,,true,,6,0,0
1778511401350,8,H,200,,true,,8,0,0
1778511401358,10,L,200,,true,,2,0,0
1778511401368,26,LP,200,,true,,17,0,0
1778511401395,36,LatP,200,,true,,28,0,0
1778511401432,34,Ad,200,,true,,5,0,0
1778511401467,24,LP_D,200,,true,,16,0,0
1778511401492,39,Ad2,200,,true,,6,0,0
1778511401532,12,Out,200,,true,,5,0,0
1778511401544,5,H,200,,true,,4,0,0
1778511401549,7,L,200,,true,,2,0,0
1778511401556,19,LP,200,,true,,10,0,0
1778511401576,23,LatP,200,,true,,15,0,0
1778511401600,21,Ad,200,,true,,3,0,0
1778511401622,24,LP_D,200,,true,,15,0,0
1778511401647,40,Ad2,200,,true,,7,0,0
1778511401688,15,Out,200,,true,,5,0,0
1778511401703,9,H,200,,true,,8,0,0
1778511401712,10,L,200,,true,,1,0,0
1778511401722,28,LP,200,,true,,19,0,0
1778511401751,28,LatP,200,,true,,20,0,0
1778511401780,23,Ad,200,,true,,4,0,0
1778511401804,21,LP_D,200,,true,,12,0,0
1778511401826,25,Ad2,200,,true,,4,0,0
1778511401852,10,Out,200,,true,,4,0,0
1778511401863,5,H,200,,true,,5,0,0
1778511401869,6,L,200,,true,,1,0,0
1778511401875,18,LP,200,,true,,8,0,0
1778511401893,22,LatP,200,,true,,13,0,0
1778511401915,16,Ad,200,,true,,3,0,0
1778511401932,17,LP_D,200,,true,,8,0,0
1778511401950,39,Ad2,200,,true,,6,0,0
1778511401990,14,Out,200,,true,,5,0,0
1778511402005,8,H,200,,true,,8,0,0
1778511402013,11,L,200,,true,,2,0,0
1778511402024,32,LP,200,,true,,19,0,0
1778511402057,44,LatP,200,,true,,33,0,0
1778511402102,34,Ad,200,,true,,5,0,0
1778511402137,31,LP_D,200,,true,,18,0,0
1778511402169,36,Ad2,200,,true,,5,0,0
1778511402206,14,Out,200,,true,,5,0,0
1778511402220,8,H,200,,true,,8,0,0
1778511402228,10,L,200,,true,,2,0,0
1778511402238,27,LP,200,,true,,17,0,0
1778511402266,39,LatP,200,,true,,30,0,1
1778511402305,34,Ad,200,,true,,6,0,0
1778511402340,28,LP_D,200,,true,,18,0,0
1778511402369,37,Ad2,200,,true,,6,0,0
1778511402406,14,Out,200,,true,,5,0,0
1778511402420,8,H,200,,true,,7,0,0
1778511402428,9,L,200,,true,,2,0,0
1778511402438,24,LP,200,,true,,16,0,0
1778511402463,36,LatP,200,,true,,29,0,0
1778511402500,36,Ad,200,,true,,5,0,0
1778511402536,25,LP_D,200,,true,,17,0,0
1778511402562,36,Ad2,200,,true,,7,0,0
1778511402598,13,Out,200,,true,,5,0,0
1778511402612,8,H,200,,true,,8,0,0
1778511402620,9,L,200,,true,,2,0,0
1778511402629,27,LP,200,,true,,17,0,0
1778511402656,37,LatP,200,,true,,29,0,0
1778511402693,36,Ad,200,,true,,6,0,0
1778511402729,25,LP_D,200,,true,,16,0,0
1778511402756,36,Ad2,200,,true,,6,0,0
1778511402792,14,Out,200,,true,,5,0,0
1778511402807,8,H,200,,true,,7,0,0
1778511402815,10,L,200,,true,,2,0,0
1778511402826,25,LP,200,,true,,16,0,0
1778511402852,37,LatP,200,,true,,29,0,0
1778511402889,36,Ad,200,,true,,6,0,0
1778511402925,27,LP_D,200,,true,,18,0,0
1778511402953,18,Ad2,200,,true,,4,0,0
1778511402971,8,Out,200,,true,,3,0,0
1778511402979,5,H,200,,true,,4,0,0
1778511402984,6,L,200,,true,,1,0,0
1778511402990,15,LP,200,,true,,7,0,0
1778511403006,19,LatP,200,,true,,11,0,0
1778511403026,15,Ad,200,,true,,3,0,0
1778511403041,17,LP_D,200,,true,,8,0,0
1778511403059,16,Ad2,200,,true,,3,0,0
1778511403076,7,Out,200,,true,,2,0,0
1778511403084,5,H,200,,true,,4,0,0
1778511403089,6,L,200,,true,,1,0,0
1778511403095,17,LP,200,,true,,8,0,0
1778511403113,28,LatP,200,,true,,20,0,0
1778511403141,26,Ad,200,,true,,5,0,0
1778511403168,20,LP_D,200,,true,,11,0,0
1778511403189,39,Ad2,200,,true,,6,0,0
1778511403229,15,Out,200,,true,,5,0,0
1778511403245,9,H,200,,true,,8,0,0
1778511403254,10,L,200,,true,,1,0,0
1778511403264,27,LP,200,,true,,18,0,0
1778511403292,33,LatP,200,,true,,25,0,0
1778511403325,18,Ad,200,,true,,3,0,0
1778511403344,18,LP_D,200,,true,,8,0,0
1778511403362,23,Ad2,200,,true,,4,0,0
1778511403385,14,Out,200,,true,,4,0,0
1778511403399,8,H,200,,true,,7,0,0
1778511403407,11,L,200,,true,,2,0,0
1778511403418,28,LP,200,,true,,19,0,0
1778511403447,38,LatP,200,,true,,30,0,0
1778511403486,34,Ad,200,,true,,5,0,0
1778511403521,25,LP_D,200,,true,,17,0,0
1778511403547,37,Ad2,200,,true,,7,0,0
1778511403585,13,Out,200,,true,,4,0,0
1778511403598,8,H,200,,true,,7,0,0
1778511403606,10,L,200,,true,,2,0,0
1778511403616,26,LP,200,,true,,17,0,0
1778511403643,36,LatP,200,,true,,28,0,0
1778511403680,34,Ad,200,,true,,5,0,0
1778511403714,27,LP_D,200,,true,,18,0,0
1778511403742,39,Ad2,200,,true,,7,0,1
1778511403782,14,Out,200,,true,,5,0,0
1778511403796,8,H,200,,true,,8,0,0
1778511403805,9,L,200,,true,,1,0,0
1778511403814,25,LP,200,,true,,17,0,0
1778511403840,36,LatP,200,,true,,29,0,0
1778511403877,34,Ad,200,,true,,5,0,0
1778511403911,26,LP_D,200,,true,,17,0,0
1778511403938,36,Ad2,200,,true,,6,0,0
1778511403975,13,Out,200,,true,,4,0,0
1778511403989,8,H,200,,true,,8,0,0
1778511403997,11,L,200,,true,,2,0,0
1778511404008,27,LP,200,,true,,18,0,0
1778511404035,25,LatP,200,,true,,17,0,0
1778511404060,18,Ad,200,,true,,3,0,0
1778511404078,18,LP_D,200,,true,,9,0,0
1778511404097,18,Ad2,200,,true,,3,0,0
1778511404115,9,Out,200,,true,,4,0,0
1778511404124,5,H,200,,true,,5,0,0
1778511404129,7,L,200,,true,,1,0,0
1778511404136,17,LP,200,,true,,8,0,0
1778511404154,19,LatP,200,,true,,11,0,0
1778511404174,18,Ad,200,,true,,3,0,0
1778511404192,17,LP_D,200,,true,,9,0,0
1778511404210,19,Ad2,200,,true,,4,0,0
1778511404229,9,Out,200,,true,,3,0,0
1778511404238,5,H,200,,true,,4,0,0
1778511404243,7,L,200,,true,,2,0,0
1778511404250,18,LP,200,,true,,10,0,0
1778511404269,38,LatP,200,,true,,31,0,0
1778511404308,34,Ad,200,,true,,6,0,0
1778511404343,25,LP_D,200,,true,,17,0,0
1778511404369,37,Ad2,200,,true,,6,0,0
1778511404406,14,Out,200,,true,,5,0,0
1778511404420,9,H,200,,true,,8,0,0
1778511404429,10,L,200,,true,,2,0,0
1778511404440,27,LP,200,,true,,16,0,0
1778511404471,43,LatP,200,,true,,33,0,0
1778511404514,38,Ad,200,,true,,6,0,0
1778511404553,30,LP_D,200,,true,,19,0,0
1778511404583,21,Ad2,200,,true,,4,0,0
1778511404605,9,Out,200,,true,,3,0,0
1778511404614,6,H,200,,true,,5,0,0
1778511404620,7,L,200,,true,,1,0,0
1778511404627,19,LP,200,,true,,10,0,0
1778511404647,35,LatP,200,,true,,27,0,0
1778511404682,35,Ad,200,,true,,6,0,0
1778511404717,26,LP_D,200,,true,,17,0,0
1778511404744,37,Ad2,200,,true,,6,0,0
1778511404781,14,Out,200,,true,,5,0,0
1778511404796,8,H,200,,true,,7,0,0
1778511404804,10,L,200,,true,,2,0,0
